,GeneID,Obs.Log.Mean,Mean.log10,Obs.Log.Std.Dev,log10.Std.Dev
53,YAL056W,1.238266315011861,-1.04554116725922,0.070916239649393,0.301603345624843
54,YAL058W,1.3003287862164523,-0.957029819488525,0.0540373979283716,0.317255305573519
55,YAL059W,1.6991500653698814,-0.0254101119935513,0.021924063443886,0.156960499183438
56,YAL060W,2.226594533802602,0.229947790503502,0.2358235837094239,0.0640898785586672
57,YAL061W,1.344620380872709,-0.224340245127678,0.1973417378079521,0.157575090688334
58,YAL062W,1.1107918513355832,0.0095505770295858,0.2252333788119202,0.0902022279720878
59,YAL063C,0.672396199662484,0.339238911867142,0.066239354551576,0.0286498626851741
60,YAL063C-A,0.0931174337986689,-0.39323353767395,0.1531592201880154,0.335695501147287
61,YAL064C-A,0.7589048705119961,0.0616334490478039,0.0552905858993772,0.186014019023142
62,YAL064W,0.2509130708908797,-0.845368504524231,0.4308574338987183,0.353826817909972
63,YAL064W-B,0.4021838961715805,-0.982440114021301,0.2101717475929037,0.34384173556352
64,YAL065C,0.1370213331294031,-0.272499591112137,0.4448117875838621,0.305324243673033
65,YAL067C,0.3955237630352615,0.0001545329869259,0.1555788227218844,0.0838018779913143
66,YAL067W-A,0.5415676508182871,-0.814786195755005,0.1188406871342178,0.371066463872714
67,YAL068C,,0.840120494365692,,0.0630012986682259
68,YAR002C-A,2.634406702112246,0.387748390436172,0.0082529356793319,0.0694774272032289
69,YAR002W,1.5242408569531616,-0.286225944757462,0.0681888004226583,0.179550014640693
70,YAR003W,1.5635760877188831,-0.757968544960022,0.1088824427613208,0.320446579481063
71,YAR007C,1.4387932131440258,0.144494488835335,0.1548006200373754,0.0619813495523394
72,YAR008W,1.1039015633905545,-0.701374888420105,0.1589174087987322,0.331868647983345
73,YAR009C,1.9179423128853528,-0.352117657661438,0.6187962195985618,0.130190363279731
74,YAR010C,1.380046446472829,-0.380432337522507,0.1881820903828454,0.233837552567224
75,YAR014C,1.4289326031936016,-1.05710303783417,0.0661016466115882,0.315423109145407
76,YAR015W,2.133677536543792,0.219112396240234,0.1272527035625313,0.0758923236418453
77,YAR018C,0.4821970431506188,-0.57855349779129,0.0409958826752888,0.28497943883478
78,YAR019C,0.9634860074371072,-0.389719039201736,0.0779398047621609,0.161984406986493
79,YAR020C,,0.579909384250641,,0.108214411164145
80,YAR023C,1.189797021064168,-0.909059047698975,0.0835746633746366,0.344834643054867
81,YAR027W,2.147467300456402,-0.533147394657135,0.1166337010293162,0.324720270560982
82,YAR028W,1.4819973159461028,-0.548771560192108,0.048661710954766,0.331817883768844
83,YAR029W,0.8899636693243212,-0.746682524681091,0.1107537353441132,0.381293572609326
84,YAR031W,1.0651207018222768,-1.00212585926056,0.0755542078443971,0.333099274366631
85,YAR033W,1.431558081912823,-0.801785469055176,0.0575767807358148,0.341492653743988
86,YAR035C-A,,-0.786954879760742,,0.379623501097352
87,YAR035W,0.3209311702159744,-0.874832272529602,0.1809927713521903,0.302496552112728
88,YAR042W,0.9446216779190072,-0.0631951913237572,0.12762666447193,0.0696425107636851
89,YAR050W,0.2683056325408747,0.376314103603363,0.0881990047381308,0.0254185836713067
90,YAR064W,,-0.791372060775757,,0.361530948109566
91,YAR066W,0.3209422564679767,0.482085794210434,0.313054944526962,0.0595855302602942
92,YAR068W,1.2825487603069463,-1.10027611255646,0.094570056553047,0.329897916006523
93,YAR071W,1.52051898456818,0.466360479593277,0.0696749221706241,0.0420872892193137
94,YBL001C,2.8542855911953544,0.131618112325668,0.0294965096097869,0.173411083357563
95,YBL002W,1.7352359094668628,0.697080194950104,0.035538480478705,0.0614480415697316
96,YBL003C,1.48031167042012,0.688336908817291,0.0749285739179763,0.0586212431461609
97,YBL004W,1.0860090020101774,-0.227133646607399,0.0749440692462133,0.0649939195661445
98,YBL005W,1.3967972823345849,-0.42803218960762,0.1305216350389426,0.171268096040813
99,YBL005W-A,0.4892253938813481,-0.449233114719391,0.0710484094545557,0.247363463174698
100,YBL005W-B,1.7405564345019455,-0.478892296552658,0.0355941887404799,0.13947082108061
101,YBL006C,1.8197309454934023,-1.12928462028503,0.0477454562560719,0.326363353147418
102,YBL007C,1.7120402869314244,0.0983822643756866,0.084606050910422,0.0458807048631804
103,YBL008W,0.8732860134522724,-0.542163610458374,0.1347375131284765,0.219868414972165
104,YBL008W-A,0.0463318765004846,-0.869401812553406,,0.35761355903989
105,YBL009W,1.1350818097661668,-0.539133965969086,0.1665572866358693,0.244878759346049
106,YBL010C,1.1420088773031478,-0.98060417175293,0.0645313270685045,0.332572372652022
107,YBL011W,1.4480718441490923,-0.0906157419085503,0.1756910168244335,0.0866637993382752
108,YBL013W,0.1275110382631503,-1.01900863647461,0.1814428776761298,0.31756143092047
109,YBL014C,0.8648926760881087,-1.03750646114349,0.1421729647556676,0.298287744546309
110,YBL015W,1.2879678095459732,0.225242435932159,0.1199695970797118,0.0557346356722418
111,YBL016W,1.9606086998561172,-0.705716788768768,0.4034239910842292,0.30629850850027
112,YBL017C,1.775125073171831,-0.16090801358223,0.1122889400512088,0.0714248839612245
113,YBL018C,1.5596786371155584,-0.293744176626205,0.090650286613039,0.315894124518262
114,YBL019W,1.0435381895314753,-0.980671226978302,0.0081231779231584,0.309009887085759
115,YBL020W,1.5242486320227684,-0.187791377305984,0.0232808469848886,0.126884162952487
116,YBL021C,1.1295652002854129,-0.88015741109848,0.1520620416251069,0.351374618341435
117,YBL022C,1.3150056421798595,-0.0269999634474516,0.1121830449242525,0.0623219270383461
118,YBL023C,1.059021706784734,-0.0087150000035762,0.1772296272477435,0.0644877766892094
119,YBL024W,1.7094278009632216,0.323527842760086,0.0201640659141888,0.043452537229243
120,YBL025W,1.2979629733637077,-0.820266127586365,0.0517151827734331,0.351817261259573
121,YBL026W,2.20128839595283,-0.335813283920288,0.1276668889688511,0.348179327254482
122,YBL027W,3.399699438733041,0.921449065208435,0.0338680752503784,0.0501835753674732
123,YBL028C,1.987488681133269,0.181313320994377,0.0508175851047774,0.16655703505234
124,YBL029C-A,2.192114179076579,-0.862507283687592,0.1005270765957871,0.362423920869244
125,YBL029W,1.3753906367449904,-0.780120015144348,0.0387590533953901,0.325008361507106
126,YBL030C,2.777402277467814,0.711458325386047,0.1396312414660952,0.0379945349020079
127,YBL031W,0.659153059792289,-0.711465895175934,0.1026875699767655,0.320135730720705
128,YBL032W,1.5933263456311988,0.143723711371422,0.0449210986443125,0.0745234071555747
129,YBL033C,1.5900363544518463,-0.492183476686478,0.1075541667007903,0.269566340166383
130,YBL034C,0.6052514342793777,-0.347743451595306,0.1040145459700501,0.120888027673563
131,YBL035C,1.0202268645357784,-0.220132440328598,0.1276790261682671,0.126150816527089
132,YBL036C,2.0329762258709683,0.138257011771202,0.0216127848993267,0.101953195155328
133,YBL037W,1.141061776296732,-0.346758872270584,0.16079030086332,0.135303288613172
134,YBL038W,1.5052689106773556,-0.189204141497612,0.0465118119903678,0.202119917401076
135,YBL039C,2.036902603803019,0.392398804426193,0.0558314459775041,0.0417510611578076
136,YBL039W-B,,-0.682217419147491,,0.3894908462056
137,YBL040C,2.498744343490106,0.018889045342803,0.0534083933609931,0.14810289138469
138,YBL041W,2.349743412278312,-0.0933267921209335,0.0454208085509048,0.171682455845582
139,YBL042C,2.023976071075672,-0.0343653187155724,0.0516212745767386,0.0849378790203098
140,YBL043W,0.6660437237568312,-0.306042015552521,0.2411757608738275,0.274918062834612
