Unnamed: 0,GeneID,Obs.Log.Mean,Mean.log10,Obs.Log.Std.Dev,log10.Std.Dev,odr_y,Y_residuals
2976,YJL138C,2.926265427684442,0.909626722335815,0.0210128808917107,0.0345711076909006,0.7035555881864143,-0.2060711341494007
2977,YJL139C,1.573293008845545,-0.77635931968689,0.087262405885423,0.30869425573485,0.010884467665761455,0.7872437873526514
2978,YJL140W,2.088815555296504,-0.678055703639984,0.0327958873980668,0.332534688864587,0.27458536046387605,0.9526410641038601
2979,YJL141C,1.5022595358309527,-0.409764856100082,0.0666178012738268,0.177590437653982,-0.02170165558859294,0.38806320051148907
2980,YJL143W,2.3393175664952413,0.145057633519173,0.0541331157861721,0.111042836711235,0.3853216882563676,0.2402640547371946
2981,YJL144W,1.87256640499245,-0.894299566745758,0.2735839435744464,0.348596501529766,0.035774435174413366,0.9300740019201713
2982,YJL145W,1.9143927589722205,0.159537121653557,0.0261206568137886,0.0937722050675524,0.19123019279383113,0.03169307114027414
2983,YJL146W,1.2668492610897004,-0.961041986942291,0.1165062944005217,0.319458579214866,-0.1487701172996917,0.8122718696425993
2984,YJL147C,0.940002459899422,-0.71444571018219,0.0906291402730437,0.310474987226554,-0.29056219018455054,0.4238835199976395
2985,YJL148W,2.001389414957338,-0.103932254016399,0.0286979519841412,0.214554730996684,0.2327597695336372,0.3366920235500362
2986,YJL149W,1.3736912105730212,-0.271968930959702,0.1478568769023641,0.153635860512781,-0.10734386190970047,0.16462506905000152
2987,YJL151C,2.6720848375350585,-0.198332339525223,0.0207501520298293,0.284179176251453,0.5602933974864811,0.7586257370117041
2988,YJL153C,1.0047045149169231,0.0175990872085094,0.2930390405522882,0.0866162254659923,-0.05479957581662387,-0.07239866302513327
2989,YJL154C,1.4440766826600235,-0.381073147058487,0.0726388072547766,0.154738458273885,-0.054120246990699505,0.3269529000677875
2990,YJL155C,1.442310672375763,-0.42664834856987,0.0738054408348842,0.236321788103881,-0.04670555476562965,0.37994279380424034
2991,YJL156C,1.4454790716023058,-0.604827046394348,0.0497770539227768,0.257807543735837,-0.0413685533786643,0.5634584930156837
2992,YJL157C,1.6384604974191153,-0.477581292390823,0.511308115090767,0.210445023426271,-0.2540514032540289,0.22352988913679406
2993,YJL158C,2.4650342666255445,0.764739036560059,0.0796294714874128,0.0448509438946644,0.5908363903845585,-0.17390264617550055
2994,YJL159W,2.966760880872864,0.780304193496704,0.002128375032322,0.0336149633874421,0.7052388622454179,-0.07506533125128612
2995,YJL160C,0.5662709680015984,-0.284087538719177,0.2378689193322936,0.231766465856713,-0.4278035485784742,-0.14371600985929717
2996,YJL161W,1.491505452097213,-0.840649724006653,0.124535993256091,0.34864459832623,-0.03823052334234456,0.8024192006643085
